zip,city,city_t,canton
1000,Lausanne,Lausanne,VD
1001,Lausanne,Lausanne,VD
1002,Lausanne,Lausanne,VD
1003,Lausanne,Lausanne,VD
1004,Lausanne,Lausanne,VD
1005,Lausanne,Lausanne,VD
1006,Lausanne,Lausanne,VD
1007,Lausanne,Lausanne,VD
1008,Prilly,Prilly,VD
1009,Pully,Pully,VD
1010,Lausanne,Lausanne,VD
1011,Lausanne,Lausanne,VD
1012,Lausanne,Lausanne,VD
1014,Lausanne Adm cant,Lausanne Adm cant,VD
1015,Lausanne,Lausanne,VD
1018,Lausanne,Lausanne,VD
1020,Renens VD,Renens VD,VD
1022,Chavannes-Renens,Chavannes-Renens,VD
1023,Crissier,Crissier,VD
1024,Ecublens VD,Ecublens VD,VD
1025,St-Sulpice VD,St-Sulpice VD,VD
1026,Echandens-Denges,Echandens-Denges,VD
1027,Lonay,Lonay,VD
1028,Préverenges,Preverenges,VD
1030,Bussigny-Lausanne,Bussigny-Lausanne,VD
1032,Romanel-s-Lausanne,Romanel-s-Lausanne,VD
1033,Cheseaux-Lausanne,Cheseaux-Lausanne,VD
1037,Etagnières,Etagnieres,VD
1038,Bercher,Bercher,VD
1040,Echallens,Echallens,VD
1377,Oulens-Echallens,Oulens-Echallens,VD
1042,Bettens,Bettens,VD
1417,Epautheyres,Epautheyres,VD
1041,Dommartin,Dommartin,VD
1063,Peyres-Possens,Peyres-Possens,VD
1053,Bretigny-Morrens,Bretigny-Morrens,VD
1034,Boussens,Boussens,VD
1035,Bournens,Bournens,VD
1036,Sullens,Sullens,VD
1043,Sugnens,Sugnens,VD
1044,Fey,Fey,VD
1045,Ogens,Ogens,VD
1407,Bioley-Magnoux,Bioley-Magnoux,VD
1052,Mont-sur-Lausanne,Mont-sur-Lausanne,VD
1054,Morrens VD,Morrens VD,VD
1055,Froideville,Froideville,VD
1410,Thierrens,Thierrens,VD
1066,Epalinges,Epalinges,VD
1073,Savigny,Savigny,VD
1083,Mézières VD,Mezieres VD,VD
1092,Belmont-Lausanne,Belmont-Lausanne,VD
1093,La Conversion,La Conversion,VD
1094,Paudex,Paudex,VD
1095,Lutry,Lutry,VD
1096,Cully,Cully,VD
1097,Riex,Riex,VD
1098,Epesses,Epesses,VD
1058,Villars-Tiercelin,Villars-Tiercelin,VD
